dataset,config,n_records,n_valid,sensitivity,specificity,fn,fp,decision_auto_rate,tier_auto_rate,human_review_rate,auto_include_rate,auto_exclude_rate,ranking_wss95_ecs,ranking_wss95_p_include,ranking_wss95_final_score,status,issues
CLEF_CD012069,a14c_difficulty_floor_100,3479,3479,1.0,0.04916512059369202,0,3075,0.11871227364185111,0.11871227364185111,0.8812877263581489,0.07300948548433459,0.04570278815751653,,,0.1443087093992526,ok,
CLEF_CD012069,a9,3479,3479,0.9795918367346939,0.017006802721088437,5,3179,0.9899396378269618,0.9899396378269618,0.01006036217303823,0.972693302673182,0.01724633515377982,,,-0.007459039954009816,ok,
CLEF_CD012164,a1,61,61,1.0,0.9482758620689655,0,3,0.9508196721311475,1.0,0.04918032786885246,0.04918032786885246,0.9016393442622951,0.769672131147541,,0.8844262295081967,ok,
CLEF_CD012164,a11_rule_exclude,61,61,1.0,0.2413793103448276,0,44,0.2786885245901639,0.2786885245901639,0.7213114754098361,0.04918032786885246,0.22950819672131148,,,0.26147540983606554,ok,
CLEF_CD012164,a13b_coverage_rule,61,61,1.0,0.25862068965517243,0,43,0.29508196721311475,0.29508196721311475,0.7049180327868853,0.04918032786885246,0.2459016393442623,,,0.26147540983606554,ok,
CLEF_CD012164,a14c_difficulty_floor_100,61,61,1.0,0.25862068965517243,0,43,0.29508196721311475,0.29508196721311475,0.7049180327868853,0.04918032786885246,0.2459016393442623,,,0.26147540983606554,ok,
CLEF_CD012164,a9,61,61,0.6666666666666666,0.603448275862069,1,23,0.6557377049180327,0.6557377049180327,0.3442622950819672,0.06557377049180328,0.5901639344262295,,,0.3926229508196721,ok,
CLEF_CD012342,a1,2353,2353,,0.985550361240969,0,34,0.985550361240969,0.9995750106247344,0.014449638759031025,0.0,0.985550361240969,,,,ok,
CLEF_CD012342,a11_rule_exclude,2353,2353,,0.3238419039524012,0,1591,0.3238419039524012,0.3238419039524012,0.6761580960475988,0.0,0.3238419039524012,,,,ok,
CLEF_CD012342,a13b_coverage_rule,2353,2353,,0.3748406289842754,0,1471,0.3748406289842754,0.3748406289842754,0.6251593710157246,0.0,0.3748406289842754,,,,ok,
CLEF_CD012342,a14c_difficulty_floor_100,2353,2353,,0.3748406289842754,0,1471,0.3748406289842754,0.3748406289842754,0.6251593710157246,0.0,0.3748406289842754,,,,ok,
CLEF_CD012342,a9,2353,2353,,0.19804504887377816,0,1887,0.20186995325116872,0.20186995325116872,0.7981300467488313,0.003824904377390565,0.19804504887377816,,,,ok,
CLEF_CD012455,a1,1593,1593,0.6,0.9955919395465995,2,7,0.9956057752667922,0.9993722536095417,0.004394224733207784,0.0018832391713747645,0.9937225360954175,0.9405838041431261,,0.9437225360954175,ok,
CLEF_CD012455,a11_rule_exclude,1593,1593,1.0,0.07997481108312343,0,1461,0.08223477715003139,0.08223477715003139,0.9177652228499686,0.0025109855618330196,0.07972379158819837,,,-0.03305084745762717,ok,
CLEF_CD012455,a13b_coverage_rule,1593,1593,1.0,0.08312342569269521,0,1456,0.08537350910232266,0.08537350910232266,0.9146264908976773,0.0025109855618330196,0.08286252354048965,,,-0.0311676082862524,ok,
CLEF_CD012455,a14c_difficulty_floor_100,1593,1593,1.0,0.08312342569269521,0,1456,0.08537350910232266,0.08537350910232266,0.9146264908976773,0.0025109855618330196,0.08286252354048965,,,-0.0311676082862524,ok,
CLEF_CD012455,a9,1593,1593,0.4,0.21788413098236775,3,1242,0.22096672944130571,0.22096672944130571,0.7790332705586943,0.0018832391713747645,0.21908349026993096,,,0.32288135593220335,ok,
CLEF_CD012551,a1,591,591,0.7931034482758621,0.9217081850533808,6,44,0.937394247038917,0.9898477157360406,0.06260575296108291,0.050761421319796954,0.8866328257191202,0.7807952622673434,,0.7621827411167512,ok,
CLEF_CD012551,a11_rule_exclude,591,591,1.0,0.01601423487544484,0,553,0.14382402707275804,0.14382402707275804,0.856175972927242,0.12859560067681894,0.015228426395939087,,,-0.016159052453468742,ok,
CLEF_CD012551,a13b_coverage_rule,591,591,1.0,0.019572953736654804,0,551,0.12859560067681894,0.12859560067681894,0.871404399323181,0.10998307952622674,0.018612521150592216,,,-0.014467005076142174,ok,
CLEF_CD012551,a14c_difficulty_floor_100,591,591,1.0,0.019572953736654804,0,551,0.12859560067681894,0.12859560067681894,0.871404399323181,0.10998307952622674,0.018612521150592216,,,-0.014467005076142174,ok,
CLEF_CD012551,a9,591,591,0.6896551724137931,0.2313167259786477,9,432,0.6785109983079526,0.6785109983079526,0.32148900169204736,0.4433164128595601,0.23519458544839256,,,0.22072758037225038,ok,
Cohen_ACEInhibitors,a1,2544,2544,0.975609756097561,0.687175389532561,1,783,0.7712264150943396,0.9198113207547169,0.22877358490566038,0.09473270440251573,0.6764937106918238,0.7550314465408805,,0.7251572327044025,ok,
Cohen_ACEInhibitors,a11_rule_exclude,2544,2544,1.0,0.040351578106272476,0,2402,0.24528301886792453,0.24528301886792453,0.7547169811320755,0.2055817610062893,0.03970125786163522,,,0.7428459119496855,ok,
Cohen_ACEInhibitors,a13b_coverage_rule,2544,2544,1.0,0.05153815421494207,0,2374,0.2751572327044025,0.2751572327044025,0.7248427672955975,0.2244496855345912,0.05070754716981132,,,0.7098270440251572,ok,
Cohen_ACEInhibitors,a14c_difficulty_floor_100,2544,2544,1.0,0.05153815421494207,0,2374,0.2751572327044025,0.2751572327044025,0.7248427672955975,0.2244496855345912,0.05070754716981132,,,0.7098270440251572,ok,
Cohen_ACEInhibitors,a9,2544,2544,0.9512195121951219,0.5185777067518977,2,1205,0.7405660377358491,0.7279874213836478,0.25943396226415094,0.22955974842767296,0.5110062893081762,,,0.7216194968553459,ok,
Cohen_ADHD,a1,851,851,1.0,0.8712394705174489,0,107,0.9294947121034077,0.9788484136310224,0.07050528789659224,0.07873090481786134,0.8507638072855465,0.8512925969447708,,0.8571680376028201,ok,
Cohen_ADHD,a11_rule_exclude,851,851,1.0,0.5102286401925391,0,407,0.6263219741480611,0.6263219741480611,0.3736780258519389,0.12808460634547592,0.4982373678025852,0.8536427732079905,0.8559929494712103,0.8559929494712103,ok,
Cohen_ADHD,a13b_coverage_rule,851,851,1.0,0.5246690734055355,0,395,0.6404230317273796,0.6404230317273796,0.3595769682726204,0.12808460634547592,0.5123384253819037,0.8536427732079905,0.8571680376028201,0.8571680376028201,ok,
Cohen_ADHD,a14c_difficulty_floor_100,851,851,1.0,0.5246690734055355,0,395,0.6404230317273796,0.6404230317273796,0.3595769682726204,0.12808460634547592,0.5123384253819037,0.8536427732079905,0.8571680376028201,0.8571680376028201,ok,
