strategy,threshold,n,tp,fn,fp,tn,sensitivity,specificity,ppv,npv,accuracy,auto_rate,include_rate,exclude_rate
p_include_threshold,0.013672297699989577,58085,939,417,9216,47513,0.6924778761061947,0.8375434081334062,0.09246676514032497,0.9912998122261631,0.83415683911509,1.0,0.1748299905311182,0.8251700094688819
p_include_threshold,0.013672358063255908,58085,939,417,9216,47513,0.6924778761061947,0.8375434081334062,0.09246676514032497,0.9912998122261631,0.83415683911509,1.0,0.1748299905311182,0.8251700094688819
p_include_threshold,0.013672433518071998,58085,939,417,9215,47514,0.6924778761061947,0.8375610358017945,0.09247587157770337,0.9912999937410026,0.8341740552638375,1.0,0.17481277438237067,0.8251872256176294
p_include_threshold,0.013672508972888088,58085,939,417,9215,47514,0.6924778761061947,0.8375610358017945,0.09247587157770337,0.9912999937410026,0.8341740552638375,1.0,0.17481277438237067,0.8251872256176294
p_include_threshold,0.013672961718890651,58085,939,417,9214,47515,0.6924778761061947,0.8375786634701828,0.09248497980892346,0.9913001752482684,0.834191271412585,1.0,0.17479555823362314,0.8252044417663769
p_include_threshold,0.013673414464893214,58085,939,417,9214,47515,0.6924778761061947,0.8375786634701828,0.09248497980892346,0.9913001752482684,0.834191271412585,1.0,0.17479555823362314,0.8252044417663769
p_include_threshold,0.013805311761476844,58085,939,417,9213,47516,0.6924778761061947,0.8375962911385711,0.09249408983451536,0.9913003567479607,0.8342084875613325,1.0,0.1747783420848756,0.8252216579151244
p_include_threshold,0.013937209058060474,58085,939,417,9213,47516,0.6924778761061947,0.8375962911385711,0.09249408983451536,0.9913003567479607,0.8342084875613325,1.0,0.1747783420848756,0.8252216579151244
p_include_threshold,0.0139691462345398,58085,939,417,9208,47521,0.6924778761061947,0.8376844294805126,0.09253966689661969,0.9913012641328383,0.8342945683050702,1.0,0.174692261341138,0.825307738658862
p_include_threshold,0.014001083411019128,58085,939,417,9208,47521,0.6924778761061947,0.8376844294805126,0.09253966689661969,0.9913012641328383,0.8342945683050702,1.0,0.174692261341138,0.825307738658862
p_include_threshold,0.01400121963156917,58085,939,417,9206,47523,0.6924778761061947,0.8377196848172892,0.09255791030064071,0.9913016270337922,0.8343290006025652,1.0,0.17465782904364294,0.8253421709563571
p_include_threshold,0.014001355852119214,58085,939,417,9206,47523,0.6924778761061947,0.8377196848172892,0.09255791030064071,0.9913016270337922,0.8343290006025652,1.0,0.17465782904364294,0.8253421709563571
p_include_threshold,0.014001764529438708,58085,939,417,9205,47524,0.6924778761061947,0.8377373124856775,0.09256703470031545,0.9913018084729146,0.8343462167513127,1.0,0.1746406128948954,0.8253593871051046
p_include_threshold,0.014002173206758202,58085,939,417,9205,47524,0.6924778761061947,0.8377373124856775,0.09256703470031545,0.9913018084729146,0.8343462167513127,1.0,0.1746406128948954,0.8253593871051046
p_include_threshold,0.01400241297505726,58085,939,417,9197,47532,0.6924778761061947,0.837878333832784,0.09264009471191792,0.9913032597134456,0.8344839459412929,1.0,0.1745028837049152,0.8254971162950848
p_include_threshold,0.014002652743356318,58085,939,417,9197,47532,0.6924778761061947,0.837878333832784,0.09264009471191792,0.9913032597134456,0.8344839459412929,1.0,0.1745028837049152,0.8254971162950848
p_include_threshold,0.014003094156146723,58085,938,418,9197,47532,0.6917404129793511,0.837878333832784,0.09255056734089788,0.9912825860271116,0.8344667297925454,1.0,0.17448566755616768,0.8255143324438323
p_include_threshold,0.014003535568937128,58085,938,418,9197,47532,0.6917404129793511,0.837878333832784,0.09255056734089788,0.9912825860271116,0.8344667297925454,1.0,0.17448566755616768,0.8255143324438323
p_include_threshold,0.014004489332105442,58085,938,418,9196,47533,0.6917404129793511,0.8378959615011723,0.09255970001973554,0.9912827678254885,0.8344839459412929,1.0,0.17446845140742015,0.8255315485925798
p_include_threshold,0.014005443095273757,58085,938,418,9196,47533,0.6917404129793511,0.8378959615011723,0.09255970001973554,0.9912827678254885,0.8344839459412929,1.0,0.17446845140742015,0.8255315485925798
